               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10502,            0.014921,            0.066714,           0.0024198,            0.083333,           0.0020748,          0.00029013,             0.10072,            0.012729,             0.05894,              0.0982,              0.0002,              0.0002
                   1,             0.11662,            0.017711,            0.077388,           0.0044963,             0.16667,           0.0043739,          0.00058254,            0.097008,            0.013089,            0.058439,            0.095499,           0.0004991,           0.0004991
                   2,             0.11359,            0.016615,            0.073591,           0.0068876,              0.2619,           0.0063419,           0.0010866,            0.087801,            0.013826,            0.057485,            0.092797,          0.00079712,          0.00079712
                   3,              0.1002,            0.020513,            0.072837,           0.0077151,             0.32143,           0.0079833,           0.0011134,             0.07803,            0.015034,            0.056198,            0.090094,           0.0010941,           0.0010941
                   4,            0.095709,            0.024728,            0.069079,           0.0073466,             0.34524,           0.0079854,           0.0013512,            0.072649,            0.016092,              0.0538,             0.08739,           0.0013899,           0.0013899
                   5,            0.092307,            0.023233,            0.064455,           0.0090073,              0.4881,           0.0088772,           0.0021413,            0.068654,             0.01665,            0.051171,            0.084685,           0.0016847,           0.0016847
                   6,            0.085837,            0.024099,            0.064824,            0.010454,             0.63095,            0.011234,           0.0030551,            0.065588,            0.017027,            0.047957,            0.081978,           0.0019784,           0.0019784
                   7,            0.085388,            0.032077,            0.060446,            0.010171,             0.65476,            0.015983,           0.0042365,            0.063082,            0.017459,            0.045822,            0.079271,            0.002271,            0.002271
                   8,            0.072759,             0.02756,            0.056353,            0.011543,             0.96429,            0.057731,            0.015839,            0.058583,            0.017833,            0.041106,            0.076563,           0.0025626,           0.0025626
                   9,            0.072567,            0.024125,            0.052939,            0.010489,                   1,             0.13208,            0.036011,            0.055922,            0.018322,            0.038269,            0.073853,            0.002853,            0.002853
                  10,            0.071093,            0.026598,            0.049786,            0.062269,                   1,             0.35744,             0.11906,            0.054086,            0.017899,            0.033762,            0.071142,           0.0031424,           0.0031424
                  11,            0.064808,            0.023812,            0.043214,             0.27131,             0.15476,             0.36096,             0.10435,            0.055391,            0.016669,            0.031542,            0.068431,           0.0034307,           0.0034307
                  12,            0.068025,            0.029609,            0.042097,             0.27585,             0.65476,             0.33655,            0.094221,            0.057441,            0.015079,            0.030399,            0.065718,           0.0037179,           0.0037179
                  13,            0.063674,            0.030923,            0.040495,             0.19155,             0.55952,             0.19881,            0.053553,            0.055755,            0.015183,            0.029869,            0.063004,           0.0040041,           0.0040041
                  14,            0.070582,            0.028642,            0.036524,            0.081557,             0.46429,            0.095927,            0.027139,            0.059417,            0.014602,            0.029483,            0.060289,           0.0042891,           0.0042891
                  15,            0.066485,            0.026112,            0.039835,             0.10339,             0.77381,             0.11706,            0.027962,            0.066344,            0.013639,            0.029995,            0.057573,           0.0045731,           0.0045731
                  16,            0.069816,             0.02451,            0.038072,             0.12746,             0.65476,             0.15029,            0.046212,            0.066286,            0.014758,            0.029998,            0.054856,            0.004856,            0.004856
                  17,            0.065616,            0.020462,            0.036346,             0.59813,             0.45238,             0.12146,            0.029143,            0.070927,            0.014581,            0.029028,            0.052138,           0.0051378,           0.0051378
                  18,             0.06633,            0.017042,            0.031899,             0.16286,             0.80952,             0.21541,            0.066146,            0.060359,            0.015116,            0.028028,            0.049419,           0.0054186,           0.0054186
                  19,            0.069296,            0.018179,            0.034238,             0.62288,                 0.5,             0.19751,            0.066415,            0.063836,            0.014818,             0.02787,            0.046698,           0.0056982,           0.0056982
                  20,            0.067854,            0.019336,            0.030338,             0.61706,             0.33333,             0.22222,            0.078775,            0.067351,            0.014735,            0.026911,            0.043977,           0.0059768,           0.0059768
                  21,            0.069893,             0.02325,            0.034968,             0.61215,              0.2381,             0.16867,             0.03985,            0.060958,            0.014862,            0.026647,            0.041254,           0.0062543,           0.0062543
                  22,            0.066206,             0.01567,            0.029196,             0.10831,             0.80952,             0.16525,            0.047874,            0.064753,            0.014724,            0.025888,            0.038531,           0.0065307,           0.0065307
                  23,            0.064034,            0.015712,            0.032241,             0.19064,             0.71429,             0.22722,            0.085862,            0.058134,            0.012119,            0.025395,            0.035806,           0.0068061,           0.0068061
                  24,            0.067799,            0.019053,            0.031865,             0.26296,             0.65476,             0.35463,             0.10763,            0.057165,            0.012028,            0.024988,             0.03308,           0.0070803,           0.0070803
                  25,            0.066301,            0.020249,            0.033772,             0.11601,             0.47619,             0.15698,            0.061548,            0.065122,            0.011826,            0.024498,            0.030354,           0.0073535,           0.0073535
                  26,            0.069063,            0.019814,            0.033087,              0.1723,             0.82143,             0.46021,             0.12833,            0.044632,             0.01219,            0.024074,            0.027626,           0.0076256,           0.0076256
                  27,            0.058711,             0.01798,            0.032822,             0.12468,             0.71429,             0.28007,             0.10208,             0.05878,            0.010781,            0.024184,            0.024897,           0.0078966,           0.0078966
                  28,            0.064881,            0.018807,            0.030512,             0.12468,             0.71429,             0.28007,             0.10208,             0.05878,            0.010781,            0.024184,            0.022167,           0.0081666,           0.0081666
                  29,            0.064912,            0.016222,              0.0333,             0.29223,             0.71429,             0.51085,             0.17401,            0.052363,            0.011349,            0.024037,            0.019435,           0.0084354,           0.0084354
                  30,            0.069737,            0.020572,            0.031911,             0.19021,             0.58333,             0.33698,            0.082044,            0.060528,            0.010436,            0.023707,            0.016703,           0.0087032,           0.0087032
                  31,            0.072847,            0.017212,             0.02951,             0.21595,             0.71429,             0.49836,             0.16772,            0.056883,            0.010208,            0.023463,             0.01397,           0.0089699,           0.0089699
                  32,            0.072604,            0.015187,            0.031076,             0.21595,             0.71429,             0.49836,             0.16772,            0.056883,            0.010208,            0.023463,            0.011236,           0.0092355,           0.0092355
                  33,            0.063015,            0.016668,            0.030207,             0.22574,             0.82143,             0.37257,             0.13191,            0.053011,           0.0099317,            0.023258,            0.009406,            0.009406,            0.009406
                  34,            0.068209,            0.015744,            0.031262,            0.029752,             0.27381,             0.03908,            0.011514,            0.074224,           0.0093416,            0.023375,            0.009406,            0.009406,            0.009406
                  35,            0.084555,            0.014742,            0.029979,             0.36695,             0.54762,             0.57243,             0.24852,            0.057871,           0.0096552,            0.022931,            0.009388,            0.009388,            0.009388
                  36,            0.064939,             0.01788,            0.031987,             0.36695,             0.54762,             0.57243,             0.24852,            0.057871,           0.0096552,            0.022931,             0.00937,             0.00937,             0.00937
                  37,             0.05922,            0.017156,            0.030292,             0.32674,                0.75,             0.41762,             0.14186,             0.04844,            0.010239,            0.022595,            0.009352,            0.009352,            0.009352
                  38,            0.053742,             0.01728,            0.029916,             0.34859,             0.73712,             0.62688,              0.2203,            0.052699,            0.009364,            0.022482,            0.009334,            0.009334,            0.009334
                  39,             0.06624,            0.017617,            0.030468,             0.15568,             0.71429,             0.27619,            0.097957,            0.062441,           0.0093123,            0.023043,            0.009316,            0.009316,            0.009316
                  40,            0.072582,            0.014274,            0.026885,             0.15568,             0.71429,             0.27619,            0.097957,            0.062441,           0.0093123,            0.023043,            0.009298,            0.009298,            0.009298
                  41,            0.066606,            0.016648,            0.030569,             0.20412,             0.64286,             0.33644,             0.15574,            0.049207,           0.0099611,            0.023709,             0.00928,             0.00928,             0.00928
                  42,            0.068722,            0.016831,            0.028867,             0.23489,             0.72619,             0.41029,             0.14395,            0.062366,           0.0096241,            0.024176,            0.009262,            0.009262,            0.009262
                  43,            0.064979,            0.012989,            0.026898,             0.29166,             0.79762,             0.47139,             0.18861,            0.049569,           0.0099056,            0.024024,            0.009244,            0.009244,            0.009244
                  44,            0.064577,            0.015937,            0.030041,             0.29166,             0.79762,             0.47139,             0.18861,            0.049569,           0.0099056,            0.024024,            0.009226,            0.009226,            0.009226
                  45,            0.053893,            0.017519,            0.030162,             0.26892,             0.78571,              0.5365,             0.26995,            0.036282,            0.010167,            0.025002,            0.009208,            0.009208,            0.009208
                  46,            0.053034,            0.018187,            0.031706,             0.82734,             0.31621,             0.43203,             0.25196,            0.055981,           0.0091196,            0.025522,             0.00919,             0.00919,             0.00919
                  47,            0.065418,            0.015767,            0.030331,              0.4191,             0.64286,             0.62074,             0.41009,            0.045935,           0.0092288,            0.023976,            0.009172,            0.009172,            0.009172
                  48,            0.059052,            0.014274,             0.03203,              0.4191,             0.64286,             0.62074,             0.41009,            0.045935,           0.0092288,            0.023976,            0.009154,            0.009154,            0.009154
                  49,            0.054683,            0.014098,              0.0285,             0.34835,             0.64286,             0.56455,             0.36408,            0.043769,           0.0094491,            0.024125,            0.009136,            0.009136,            0.009136
                  50,            0.062609,            0.014555,            0.029932,             0.32453,             0.83333,             0.55653,             0.19745,            0.066019,           0.0091478,            0.023815,            0.009118,            0.009118,            0.009118
                  51,             0.07211,            0.012397,            0.029126,             0.14192,             0.38095,             0.16058,            0.052582,            0.061735,           0.0096606,            0.022832,              0.0091,              0.0091,              0.0091
                  52,            0.075887,            0.015115,            0.028546,             0.14192,             0.38095,             0.16058,            0.052582,            0.061735,           0.0096606,            0.022832,            0.009082,            0.009082,            0.009082
                  53,            0.066922,            0.013857,            0.029887,             0.16579,             0.58333,             0.22173,            0.073927,            0.053538,           0.0093838,            0.022246,            0.009064,            0.009064,            0.009064
                  54,            0.062821,            0.013652,            0.027224,             0.42244,             0.62986,             0.62101,             0.40553,            0.047079,           0.0085063,            0.022112,            0.009046,            0.009046,            0.009046
                  55,            0.062445,            0.013222,            0.027011,             0.42618,             0.71429,             0.62305,             0.41261,            0.038317,           0.0088079,             0.02188,            0.009028,            0.009028,            0.009028
                  56,            0.057061,            0.011983,            0.030249,             0.42618,             0.71429,             0.62305,             0.41261,            0.038317,           0.0088079,             0.02188,             0.00901,             0.00901,             0.00901
                  57,            0.052153,            0.016842,            0.026808,             0.39228,             0.71429,             0.63805,              0.3481,            0.035888,           0.0088121,             0.02169,            0.008992,            0.008992,            0.008992
                  58,            0.050963,            0.014821,            0.028093,             0.32442,                0.75,             0.69313,              0.3779,            0.042568,           0.0087449,            0.021461,            0.008974,            0.008974,            0.008974
